Index,HV,Al,Co,Cr,Cu,Fe,Ni
0,418,18.2,18.2,18.2,18.2,9.1,18.2
1,423,18.2,18.2,18.2,18.2,18.2,9.1
2,143,0.0,0.0,25.0,25.0,25.0,25.0
3,146,0.0,5.0,23.8,23.8,23.8,23.8
4,150,0.0,10.0,22.5,22.5,22.5,22.5
5,158,0.0,15.0,21.3,21.3,21.3,21.3
6,175,0.0,33.3,16.7,16.7,16.7,16.7
7,154,0.0,25.0,0.0,25.0,25.0,25.0
8,153,0.0,23.8,5.0,23.8,23.8,23.8
9,158,0.0,22.5,10.0,22.5,22.5,22.5
10,161,0.0,21.3,15.0,21.3,21.3,21.3
11,172,0.0,16.7,33.3,16.7,16.7,16.7
12,183,0.0,25.0,25.0,25.0,0.0,25.0
13,182,0.0,23.8,23.8,23.8,5.0,23.8
14,172,0.0,22.5,22.5,22.5,10.0,22.5
15,171,0.0,21.3,21.3,21.3,15.0,21.3
16,157,0.0,16.7,16.7,16.7,33.3,16.7
17,170,0.0,22.5,22.5,22.5,22.5,10.0
18,167,0.0,21.3,21.3,21.3,21.3,15.0
19,158,0.0,16.7,16.7,16.7,16.7,33.3
20,140,0.0,26.7,26.7,0.0,26.7,20.0
21,125,0.0,20.0,20.0,0.0,20.0,40.0
22,242,14.3,14.3,14.3,0.0,14.3,42.9
23,265,15.4,15.4,15.4,0.0,15.4,38.5
24,335,16.7,16.7,16.7,0.0,16.7,33.3
25,170,0.0,28.3,28.3,0.0,28.3,15.0
39,587,22.5,22.5,22.5,0.0,10.0,22.5
40,558,21.3,21.3,21.3,0.0,15.0,21.3
41,510,16.7,16.7,16.7,0.0,33.3,16.7
42,655,15.0,28.3,28.3,0.0,28.3,0.0
43,695,20.0,26.7,26.7,0.0,26.7,0.0
44,185,5.7,18.9,18.9,18.9,18.9,18.9
45,273,13.8,17.2,17.2,17.2,17.2,17.2
46,475,20.6,15.9,15.9,15.9,15.9,15.9
47,558,26.5,14.7,14.7,14.7,14.7,14.7
48,510,23.1,15.4,15.4,15.4,15.4,15.4
49,603,31.5,13.7,13.7,13.7,13.7,13.7
50,625,33.3,13.3,13.3,13.3,13.3,13.3
51,655,35.9,12.8,12.8,12.8,12.8,12.8
52,735,37.5,12.5,12.5,12.5,12.5,12.5
53,118,2.4,24.4,24.4,0.0,24.4,24.4
54,127,9.1,22.7,22.7,0.0,22.7,22.7
55,338,14.9,21.3,21.3,0.0,21.3,21.3
56,382,16.7,20.8,20.8,0.0,20.8,20.8
57,527,18.4,20.4,20.4,0.0,20.4,20.4
58,479,23.1,19.2,19.2,0.0,19.2,19.2
59,482,31.0,17.2,17.2,0.0,17.2,17.2
60,166,14.3,42.9,0.0,14.3,14.3,14.3
61,536,20.0,20.0,0.0,20.0,20.0,20.0
62,531,23.8,4.8,0.0,23.8,23.8,23.8
63,545,22.2,11.1,0.0,22.2,22.2,22.2
64,366,18.2,27.3,0.0,18.2,18.2,18.2
65,249,16.7,33.3,0.0,16.7,16.7,16.7
66,110,5.9,23.5,23.5,0.0,23.5,23.5
67,131,8.6,22.9,22.9,0.0,22.9,22.9
68,388,15.8,21.1,21.1,0.0,21.1,21.1
69,538,17.9,20.5,20.5,0.0,20.5,20.5
70,487,23.8,19.0,19.0,0.0,19.0,19.0
71,162,3.8,0.0,19.2,19.2,19.2,38.5
72,170,5.7,0.0,18.9,18.9,18.9,37.7
73,200,7.4,0.0,18.5,18.5,18.5,37.0
74,238,9.1,0.0,18.2,18.2,18.2,36.4
75,278,10.7,0.0,17.9,17.9,17.9,35.7
76,290,12.3,0.0,17.5,17.5,17.5,35.1
77,315,13.8,0.0,17.2,17.2,17.2,34.5
78,339,15.3,0.0,16.9,16.9,16.9,33.9
79,392,16.7,0.0,16.7,16.7,16.7,33.3
80,521,19.4,0.0,16.1,16.1,16.1,32.3
81,546,23.1,0.0,15.4,15.4,15.4,30.8
82,550,24.2,0.0,15.2,15.2,15.2,30.3
83,544,26.5,0.0,14.7,14.7,14.7,29.4
84,567,28.6,0.0,14.3,14.3,14.3,28.6
85,576,30.6,0.0,13.9,13.9,13.9,27.8
86,593,33.3,0.0,13.3,13.3,13.3,26.7
87,479,20.0,0.0,20.0,20.0,20.0,20.0
88,494,21.7,0.0,21.7,21.7,21.7,13.0
89,486,20.8,0.0,20.8,20.8,20.8,16.7
90,408,19.2,0.0,19.2,19.2,19.2,23.1
91,370,18.5,0.0,18.5,18.5,18.5,25.9
92,358,16.7,16.7,16.7,8.3,16.7,25.0
93,586,20.0,20.0,20.0,10.0,10.0,20.0
94,601,16.7,16.7,25.0,8.3,16.7,16.7
95,295,15.4,30.8,15.4,7.7,15.4,15.4
96,584,22.2,22.2,0.0,11.1,22.2,22.2
97,310,15.4,15.4,15.4,7.7,15.4,30.8
98,205,14.3,28.6,0.0,0.0,28.6,28.6
99,380,20.0,26.7,0.0,0.0,26.7,26.7
100,280,8.0,17.0,17.0,8.0,17.0,33.0
101,580,23.0,15.0,23.0,8.0,15.0,16.0
102,371,16.7,0.0,55.6,0.0,0.0,27.8
103,450,11.8,0.0,29.4,0.0,44.1,14.7
104,304,6.3,0.0,31.3,0.0,46.9,15.6
105,695,38.5,15.4,15.4,0.0,15.4,15.4
106,740,42.9,14.3,14.3,0.0,14.3,14.3
107,207,9.1,18.2,18.2,18.2,18.2,18.2
108,576,28.6,14.3,14.3,14.3,14.3,14.3
109,415,20.0,20.0,20.0,20.0,0.0,20.0
110,602,25.0,16.7,16.7,8.3,16.7,16.7
111,155,0.0,20.0,20.0,20.0,20.0,20.0
112,139,0.0,25.0,25.0,0.0,25.0,25.0
113,430,25.0,25.0,0.0,0.0,25.0,25.0
114,516,20.0,20.0,20.0,0.0,20.0,20.0
115,764,43.0,6.0,33.0,6.0,6.0,6.0
116,591,42.9,14.3,7.1,7.1,7.1,21.4
117,701,42.9,21.4,7.1,7.1,7.1,14.3
118,768,40.0,13.3,6.7,13.3,20.0,6.7
119,702,46.2,15.4,7.7,7.7,15.4,7.7
120,720,42.9,14.3,14.3,7.1,7.1,14.3
