Alloy No.,"Elemental content, at%",,,,,,"Hardness, HV"
,Al,Co,Cr,Cu,Fe,Ni,
1,0.208,0,0.208,0.208,0.208,0.167,486
2,0.11,0,0.28,0.27,0.06,0.28,469
3,0.167,0.167,0.167,0.083,0.167,0.25,358
4,0.11,0,0.28,0.29,0.07,0.25,477
5,0,0.267,0.267,0,0.267,0.2,140
6,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0,567
7,0,0.213,0.213,0.213,0.213,0.15,167
8,0.217,0,0.217,0.217,0.217,0.13,494
9,0.238,0.05,0.238,0,0.238,0.238,550
10,0.138,0.172,0.172,0.172,0.172,0.172,273
11,0.179,0.205,0.205,0,0.205,0.205,538
12,0,0.238,0.238,0.238,0.05,0.238,182
13,0.154,0.154,0.154,0,0.154,0.385,265
14,0.182,0.182,0.182,0.182,0.182,0.091,423
15,0.310344828,0.172413793,0.172413793,0.172413793,0.172413793,0,557
16,0.238,0.048,0,0.238,0.238,0.238,531
17,0.222,0,0.222,0.111,0.222,0.222,534
18,0.31,0.172,0.172,0,0.172,0.172,482
19,0.308,0.154,0.154,0.077,0.154,0.154,609
20,0.429,0.071,0.143,0.071,0.143,0.143,694
21,0.182,0.182,0.182,0,0.182,0.273,503
22,0.167,0.167,0.167,0,0.333,0.167,510
23,0,0.167,0.333,0.167,0.167,0.167,172
24,0.315,0.137,0.137,0.137,0.137,0.137,603
25,0,0.225,0.1,0.225,0.225,0.225,158
26,0.059,0.235,0.235,0,0.235,0.235,110
27,0.222,0.222,0,0.111,0.222,0.222,584
28,0.182,0.273,0,0.182,0.182,0.182,366
29,0.375,0.125,0.125,0.125,0.125,0.125,735
30,0.333333333,0.166666667,0.166666667,0,0.166666667,0.166666667,512
31,0.038,0,0.192,0.192,0.192,0.385,162
32,0,0.1,0.225,0.225,0.225,0.225,150
33,0,0.25,0.25,0.25,0,0.25,183
34,0.245283019,0.188679245,0.188679245,0.188679245,0.188679245,0,476
35,0.2,0.2,0,0.2,0.2,0.2,536
36,0.167,0.333,0.167,0,0.167,0.167,532
37,0.167,0.167,0.167,0.083,0.25,0.167,537
38,0.225,0.1,0.225,0,0.225,0.225,539
39,0.167,0.208,0.208,0,0.208,0.208,382
40,0.182,0.182,0.182,0.182,0.091,0.182,418
41,0.286,0.143,0.143,0.143,0.143,0.143,576
42,0.07,0,0.233,0,0.233,0.465,149
43,0.222,0.222,0.222,0.111,0.222,0,639
44,0.238,0.238,0.238,0,0.238,0.05,615
45,0,0.333,0.167,0.167,0.167,0.167,175
46,0.231,0.192,0.192,0,0.192,0.192,479
47,0.167,0.167,0.333,0,0.167,0.167,617
48,0.158,0.211,0.211,0,0.211,0.211,388
49,0.238,0.238,0.05,0,0.238,0.238,438
50,0.091,0.182,0.182,0.182,0.182,0.182,207
51,0.23,0.15,0.23,0.08,0.15,0.16,580
52,0.077,0.308,0,0,0.308,0.308,135
53,0.384615385,0.153846154,0.153846154,0.153846154,0.153846154,0,624
54,0.1,0,0.35,0.24,0.05,0.26,441
55,0,0.25,0.25,0,0.25,0.25,139
56,0.192,0,0.192,0.192,0.192,0.231,408
57,0.28,0.1,0.27,0.1,0.05,0.2,629
58,0.123,0,0.175,0.175,0.175,0.351,290
59,0.411764706,0.147058824,0.147058824,0.147058824,0.147058824,0,657
60,0.167,0.167,0.25,0.083,0.167,0.167,601
61,0.167,0,0.167,0.167,0.167,0.333,392
62,0.138,0,0.172,0.172,0.172,0.345,315
63,0.167,0,0.556,0,0,0.278,371
64,0.2,0.2,0.2,0.1,0.2,0.1,604
65,0.1,0,0.35,0.26,0.05,0.24,454
66,0.242,0,0.152,0.152,0.152,0.303,550
67,0,0.213,0.213,0.213,0.15,0.213,171
68,0.25,0.25,0.25,0,0.25,0,720
69,0.2,0,0.2,0.2,0.2,0.2,479
70,0.231,0.154,0.154,0.154,0.154,0.154,510
71,0.167,0.333,0,0.167,0.167,0.167,249
72,0.069767442,0.23255814,0.23255814,0.23255814,0.23255814,0,180
73,0.213,0.213,0.15,0,0.213,0.213,510
74,0.182,0.182,0.091,0.182,0.182,0.182,367
75,0.238,0.19,0.19,0,0.19,0.19,487
76,0.28,0.1,0.25,0.15,0.22,0,619
77,0.25,0.167,0.167,0.083,0.167,0.167,602
78,0.154,0.308,0.154,0.077,0.154,0.154,295
79,0.024,0.244,0.244,0,0.244,0.244,118
80,0.111111111,0.222222222,0.222222222,0,0.222222222,0.222222222,209
81,0.12,0,0.31,0.2,0.05,0.32,483
82,0.428571429,0.142857143,0.142857143,0.142857143,0.142857143,0,644
83,0.2,0.267,0,0,0.267,0.267,380
84,0,0,0.25,0.25,0.25,0.25,143
85,0,0.167,0.167,0.167,0.167,0.333,158
86,0.4,0.133,0.067,0.133,0.2,0.067,768
87,0.154,0.154,0.154,0.077,0.308,0.154,514
88,0.111,0,0.222,0,0.222,0.444,229
89,0.12,0,0.31,0.21,0.05,0.31,469
90,0.25,0.25,0.25,0,0,0.25,712
91,0.111,0,0.222,0.222,0.222,0.222,382
92,0.385,0.154,0.154,0,0.154,0.154,695
93,0.1,0.3,0.3,0,0.3,0,620
94,0,0.333333,0,0,0.333333333,0.333333333,125
95,0.225,0.225,0.225,0,0.225,0.1,548
96,0.359,0.128,0.128,0.128,0.128,0.128,655
97,0,0.167,0.167,0.167,0.333,0.167,157
98,0.118,0,0.294,0,0.441,0.147,450
99,0.074,0,0.185,0.185,0.185,0.37,200
100,0.154,0.154,0.154,0.077,0.154,0.308,310
101,0.333,0.133,0.133,0.133,0.133,0.133,625
102,0.213,0.213,0.213,0,0.213,0.15,555
103,0.2,0.2,0.1,0.1,0.2,0.2,546
104,0,0.225,0.225,0.225,0.225,0.1,170
105,0.2,0.2,0.2,0,0.2,0.2,516
106,0.43,0.06,0.33,0.06,0.06,0.06,764
107,0,0.238,0.05,0.238,0.238,0.238,153
108,0.149,0.213,0.213,0,0.213,0.213,338
109,0.086,0.229,0.229,0,0.229,0.229,131
110,0.429,0.143,0.143,0,0.143,0.143,740
111,0.1,0,0.35,0.25,0.05,0.25,472
112,0,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222,172
113,0.057,0,0.189,0.189,0.189,0.377,170
114,0.222,0.111,0,0.222,0.222,0.222,545
115,0.2,0.2,0.2,0.2,0,0.2,415
116,0.206,0.159,0.159,0.159,0.159,0.159,475
117,0.143,0.143,0.143,0,0.143,0.429,242
118,0.167,0.25,0.167,0.083,0.167,0.167,451
119,0.05,0.317,0.317,0,0.317,0,475
120,0.185,0,0.185,0.185,0.185,0.259,370
121,0.462,0.154,0.077,0.077,0.154,0.077,702
122,0.053,0.211,0.211,0,0.263,0.263,168
123,0.143,0.429,0,0.143,0.143,0.143,166
124,0.175,0.075,0.25,0,0.25,0.25,624
125,0.429,0.143,0.071,0.071,0.071,0.214,591
126,0,0.225,0.225,0.225,0.1,0.225,172
127,0.306,0,0.139,0.139,0.139,0.278,576
128,0.143,0.286,0,0,0.286,0.286,205
129,0.429,0.214,0.071,0.071,0.071,0.143,701
130,0.063,0,0.313,0,0.469,0.156,304
131,0.4,0.2,0.2,0,0.2,0,775
132,0.272727273,0.181818182,0.181818182,0,0.181818182,0.181818182,517
133,0.194,0,0.161,0.161,0.161,0.323,521
134,0.272727273,0.181818182,0.181818182,0.181818182,0.181818182,0,510
135,0.184,0.204,0.204,0,0.204,0.204,527
136,0.166666667,0.208333333,0.208333333,0.208333333,0.208333333,0,271
137,0.28,0.08,0.25,0.08,0.19,0.12,654
138,0.091,0.227,0.227,0,0.227,0.227,127
139,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0,207
140,0.13,0,0.28,0.22,0.06,0.31,459
141,0.231,0,0.154,0.154,0.154,0.308,546
142,0.265,0.147,0.147,0.147,0.147,0.147,558
143,0.333,0,0.133,0.133,0.133,0.267,593
144,0,0.2,0.2,0,0.2,0.4,125
145,0.2,0.267,0.267,0,0.267,0,695
146,0.182,0.091,0.182,0.182,0.182,0.182,473
147,0.107,0,0.179,0.179,0.179,0.357,278
148,0,0.2,0.2,0.2,0.2,0.2,155
149,0,0.213,0.15,0.213,0.213,0.213,161
150,0.11,0,0.29,0.29,0.05,0.26,495
151,0.25,0.25,0,0,0.25,0.25,430
152,0.273,0,0.182,0.182,0.182,0.182,573
153,0.225,0.225,0.225,0,0.1,0.225,587
154,0.265,0,0.147,0.147,0.147,0.294,544
155,0,0.05,0.238,0.238,0.238,0.238,146
156,0.225,0.225,0.1,0,0.225,0.225,476
157,0.057,0.189,0.189,0.189,0.189,0.189,185
158,0.125,0.125,0.125,0,0.125,0.5,225
159,0.2,0.2,0.2,0.2,0.2,0,407
160,0,0.25,0,0.25,0.25,0.25,154
161,0,0.15,0.213,0.213,0.213,0.213,158
162,0.167,0.167,0.167,0,0.167,0.333,335
163,0,0.283,0.283,0,0.283,0.15,170
164,0.238,0.238,0.238,0,0.05,0.238,665
165,0.213,0.213,0.213,0,0.15,0.213,558
166,0.15,0.283,0.283,0,0.283,0,655
167,0.091,0,0.182,0.182,0.182,0.364,238
168,0.153,0,0.169,0.169,0.169,0.339,339
169,0.286,0,0.143,0.143,0.143,0.286,567
170,0.2,0.2,0.2,0.1,0.1,0.2,586
171,0.154,0.154,0.308,0.077,0.154,0.154,607
172,0.2,0.1,0.2,0.1,0.2,0.2,551
173,0.333,0,0.167,0.167,0.167,0.167,651
174,0.08,0.17,0.17,0.08,0.17,0.33,280
175,0.429,0.143,0.143,0.071,0.071,0.143,720
176,0.34,0.17,0.34,0,0.05,0.1,699
177,0.47,0.14,0.15,0.05,0.13,0.06,728
178,0.38,0.11,0.06,0.09,0.31,0.05,604
179,0.36,0.1,0.31,0.06,0.09,0.08,790
180,0.43,0.17,0.15,0,0.14,0.11,806
181,0.47,0.12,0.12,0.05,0.13,0.11,811
182,0.43,0.19,0.19,0,0.11,0.08,855
183,0.39,0.1,0.31,0.05,0.08,0.07,802
184,0.47,0.13,0.13,0.05,0.12,0.1,799
185,0.43,0.2,0.22,0,0.08,0.07,857
186,0.47,0.14,0.19,0.05,0.1,0.05,855
187,0.43,0.2,0.19,0,0.09,0.09,816
188,0.46,0.14,0.23,0.05,0.07,0.05,811
189,0.44,0.14,0.22,0.05,0.09,0.06,790
190,0.43,0.19,0.24,0,0.08,0.06,855
191,0.43,0.18,0.24,0,0.1,0.05,856
192,0.47,0.14,0.2,0.05,0.09,0.05,859
193,0.43,0.24,0.22,0,0.05,0.06,875
194,0.43,0.24,0.23,0,0.05,0.05,868
195,0.47,0.12,0.2,0.05,0.11,0.05,843
196,0.43,0.15,0.17,0.05,0.14,0.06,794
197,0.42,0.1,0.3,0.05,0.07,0.06,783
198,0.47,0.11,0.22,0.05,0.1,0.05,797
199,0.47,0.13,0.2,0.05,0.1,0.05,805
200,0.29,0.22,0.34,0,0.05,0.1,699
201,0.47,0.07,0.16,0.09,0.16,0.05,749
202,0.43,0.14,0.21,0.05,0.12,0.05,828
203,0.47,0.18,0.15,0.05,0.1,0.05,849
204,0.47,0.2,0.18,0.05,0.05,0.05,883
205,0.43,0.18,0.2,0,0.12,0.07,864
206,0.47,0.17,0.16,0.05,0.1,0.05,841
207,0.43,0.22,0.22,0,0.08,0.05,882
208,0.43,0.22,0.23,0,0.07,0.05,883
209,0.43,0.2,0.21,0,0.09,0.07,828
210,0.43,0.22,0.25,0,0.05,0.05,848
211,0.47,0.19,0.19,0.05,0.05,0.05,878
212,0.43,0.29,0.18,0,0.05,0.05,782
213,0.43,0.25,0.22,0,0.05,0.05,865
214,0.445,0.22,0.195,0.025,0.065,0.05,851.5
215,0.07,0.233,0.233,0,0.233,0.233,117
216,0.13,0.217,0.217,0,0.217,0.217,228
217,0.167,0.167,0.167,0.167,0.167,0.167,458
218,0.333,0.167,0.167,0,0.167,0.167,581.7
219,0.222,0.222,0,0.222,0.222,0.111,430.9
220,0.208,0.208,0,0.208,0.208,0.167,420
221,0.182,0.182,0,0.182,0.182,0.273,323.8
222,0.167,0.167,0,0.167,0.167,0.333,299.2
223,0.143,0.143,0,0.143,0.143,0.429,279.6
224,0.18,0.3,0.1,0,0.1,0.32,305.4
225,0.43,0.23,0.21,0,0.08,0.05,863
226,0.46,0.21,0.18,0.05,0.05,0.05,840
227,0.157,0.189,0.189,0.189,0.189,0.189,183
228,0.159,0.235,0.235,0,0.235,0.235,110
229,0.138,0,0.192,0.192,0.192,0.385,162
230,0.157,0,0.189,0.189,0.189,0.377,170
231,0.163,0,0.313,0,0.469,0.156,304
232,0,0.25,0.25,0.25,0.25,0,134
233,0.07,0.233,0.233,0.233,0.233,0,180
234,0.111,0.222,0.222,0.222,0.222,0,207
235,0.167,0.208,0.208,0.208,0.208,0,271
236,0.245,0.189,0.189,0.189,0.189,0,476
237,0.273,0.182,0.182,0.182,0.182,0,510
238,0.31,0.172,0.172,0.172,0.172,0,557
239,0.333,0.167,0.167,0.167,0.167,0,567
240,0.365,0.159,0.159,0.159,0.159,0,603
241,0.385,0.154,0.154,0.154,0.154,0,624
242,0.412,0.147,0.147,0.147,0.147,0,657
243,0.429,0.143,0.143,0.143,0.143,0,644
244,0.025,0.25,0.225,0,0.25,0.25,135.3
245,0.05,0.25,0.2,0,0.25,0.25,147.2
246,0.075,0.25,0.175,0,0.25,0.25,175.3
247,0.1,0.25,0.15,0,0.25,0.25,190.4
248,0.125,0.25,0.125,0,0.25,0.25,210.6
249,0.15,0.25,0.1,0,0.25,0.25,250.3
250,0.175,0.25,0.075,0,0.25,0.25,314.1
251,0.2,0.25,0.05,0,0.25,0.25,386.5
252,0.225,0.25,0.025,0,0.25,0.25,486.3
253,0.206,0.159,0.159,0,0.159,0.317,340
254,0.095,0.19,0.19,0.143,0.19,0.19,240.7
255,0.1,0.2,0.2,0.1,0.2,0.2,240.78
256,0.135,0.192,0.192,0.096,0.192,0.192,312.54
257,0.143,0.19,0.19,0.095,0.19,0.19,341.09
258,0.15,0.2,0.2,0.05,0.2,0.2,375.23
259,0.152,0.19,0.19,0.086,0.19,0.19,403.25
260,0.17,0.189,0.189,0.075,0.189,0.189,560.11
261,0.196,0.196,0.196,0.196,0.196,0.196,578.26
262,0.167,0.167,0.167,0.333,0.167,0.167,375
263,0.238,0.238,0.238,0,0.048,0.238,637.2
264,0.05,0.225,0.25,0.225,0,0.25,165.03
265,0,0.2,0.2,0,0.4,0.2,124
266,0,0.143,0.143,0,0.571,0.143,109
267,0,0.167,0.167,0,0.5,0.167,115
268,0.13,0.217,0.217,0.217,0.217,0.217,245.8
269,0.048,0.238,0.238,0.238,0.238,0.238,169
270,0.259,0.185,0.185,0,0.185,0.185,516.6
271,0.133,0.333,0,0.2,0,0.333,193
272,0.167,0.167,0.167,0.167,0.167,0.333,396
273,0.273,0.182,0.182,0,0.182,0.182,510
